Name,Website,AngelList URL
Jordan Levy,http://www.sbny.vc,https://angel.co/jordalev
Josh Guttman,http://www.sbny.vc,https://angel.co/jgut
Dana Spiegel,,https://angel.co/danaspiegel
Kevin Thau,http://www.sparkcapital.com/,https://angel.co/kevinthau
Ekin Oflazer,http://www.sparkcapital.com/,https://angel.co/ekin-oflazer
Jeremy G. Philips,http://www.sparkcapital.com/,https://angel.co/jeremy-philips
John Melas-Kyriazi,http://www.sparkcapital.com/,https://angel.co/john-melas-kyriazi
Danya Cheskis-Gold,http://www.sparkcapital.com/,https://angel.co/danya-cheskis-gold
Rob Go,http://www.sparkcapital.com/,https://angel.co/robgo
David Haber,http://www.sparkcapital.com/,https://angel.co/dhaber
Santo Politi,http://www.sparkcapital.com/,https://angel.co/santopoliti
Bijan Sabet,http://www.sparkcapital.com/,https://angel.co/bijan
Nabeel Hyatt,http://www.sparkcapital.com/,https://angel.co/nabeel-hyatt
Todd Dagres,http://www.sparkcapital.com/,https://angel.co/todddowl
Andrew Parker,http://www.sparkcapital.com/,https://angel.co/andrewparker
Alex Finkelstein,http://www.sparkcapital.com/,https://angel.co/finkelstein1
Mo Koyfman,http://www.sparkcapital.com/,https://angel.co/mokoyfman
Andrew Adams,http://www.softbank.com/,https://angel.co/andrew-adams
Graham Brown,http://www.softbank.com/,https://angel.co/graham-brown-1
Ron Fisher,http://www.softbank.com/,https://angel.co/ron-fisher
Nick  Tomaino,http://www.softbank.com/,https://angel.co/ntomaino
Melanie Dyer,http://www.softbank.com/,https://angel.co/melanie-dyer
Mark Zogaria,http://www.softbank.com/,https://angel.co/mark-zogaria
Teddy Himler,http://www.softbank.com/,https://angel.co/teddy-himler
Steven Murray,http://www.softbank.com/,https://angel.co/steven-murray
Matt Krna,http://www.softbank.com/,https://angel.co/matt-krna
Nikhil Kalghatgi,http://www.softbank.com/,https://angel.co/nikhilkal
Joe Medved,http://www.softbank.com/,https://angel.co/joevc
Jonathan Libov,http://www.usv.com/,https://angel.co/libovness
Fred Wilson,http://www.usv.com/,https://angel.co/fredwilson
Brad Burnham,http://www.usv.com/,https://angel.co/bradusv
Jennifer Soffen,http://www.usv.com/,https://angel.co/jsoffen
Gary Chou,http://www.usv.com/,https://angel.co/garychou
Alexander Pease,http://www.usv.com/,https://angel.co/alexanderpease
Brittany Laughlin,http://www.usv.com/,https://angel.co/br_ttany
Nick Grossman,http://www.usv.com/,https://angel.co/nickgrossman
Brian Watson,http://www.usv.com/,https://angel.co/bwats
Charlie O'Donnell,http://www.usv.com/,https://angel.co/ceonyc
Andy Weissman,http://www.usv.com/,https://angel.co/aweissman
Albert Wenger,http://www.usv.com/,https://angel.co/albertwenger
Neil Hutchinson,,https://angel.co/neil-hutchinson
